tema,tags,descripcion,pasos,areas_responsables
traspaso,proceso,"Proceso estándar de traspaso de productos entre almacenes","1. Solicitar autorización del gerente de área;2. Completar formulario de traspaso en sistema;3. Verificar inventario físico;4. Actualizar sistema de inventarios;5. Notificar a todas las áreas involucradas","Gerencia,Almacén,Sistemas,Contabilidad"
traspaso,problema,"Problemas comunes en traspasos y sus soluciones","1. Identificar el tipo de problema (faltante, sobrante, daño);2. Contactar al área correspondiente según el problema;3. Documentar la incidencia en el sistema;4. Seguir protocolo de solución específico;5. Realizar ajuste correspondiente","Soporte Técnico,Almacén,Calidad"
traspaso,politica,"Políticas y normativas de traspasos","1. Revisar manual de políticas actualizado;2. Consultar con supervisor inmediato;3. Aplicar normativa vigente según el tipo de producto;4. Documentar cualquier excepción o caso especial;5. Archivar documentación según protocolo","Recursos Humanos,Gerencia,Legal"
sistema,error,"Resolución de errores del sistema","1. Identificar el código y descripción del error;2. Revisar logs del sistema para diagnóstico;3. Contactar al administrador del sistema;4. Documentar pasos realizados para solución;5. Reportar error recurrente a desarrollo","Sistemas,Soporte Técnico"
sistema,configuracion,"Configuración y parametrización del sistema","1. Acceder a panel de administración con credenciales;2. Realizar cambios necesarios según requerimiento;3. Probar funcionalidad después de cada cambio;4. Documentar cambios realizados;5. Notificar a usuarios afectados","Sistemas,Administración"
cliente,queja,"Manejo de quejas y reclamos de clientes","1. Escuchar activamente al cliente y mostrar empatía;2. Documentar todos los detalles de la queja;3. Identificar solución adecuada según políticas;4. Dar seguimiento hasta resolución completa;5. Registrar caso como cerrado","Atención al Cliente,Supervisión,Calidad"
cliente,informacion,"Proceso para solicitudes de información","1. Identificar necesidad específica del cliente;2. Proporcionar información precisa y actualizada;3. Documentar consulta en sistema;4. Ofrecer seguimiento si es necesario;5. Confirmar satisfacción del cliente","Atencion al Cliente,Soporte"
rh,contratacion,"Proceso de contratación de personal","1. Publicar vacante y recibir CVs;2. Realizar entrevistas técnicas y psicológicas;3. Verificar referencias y antecedentes;4. Elaborar contrato y documentación;5. Realizar inducción y onboarding","Recursos Humanos,Gerencia,Legal"
rh,incidencia,"Manejo de incidencias de personal","1. Documentar incidencia con todos los detalles;2. Investigar circunstancias y causas;3. Aplicar medidas según manual de convivencia;4. Notificar a partes involucradas;5. Seguimiento y cierre del caso","Recursos Humanos,Supervisión,Legal"
inventario,Ciclico,"proceso de conteo realizo por lider de inventarios","1.Consultar a lider de inventariios de tu sociedad","Inventarios"
inventario,Fiscal,"Proceso de inventario total","!.Preparacion de inventario guiandose del manual de preparativos","inventarios"
inventario,Error inventario,"Proceso de correcion de materiales","!.Envio de 1 o mas codigos a auditoria o ciclicos con las correciones y justificaciones validas","inventarios"
picking,picking-error,"validar el error;Revisar existencia;Revisar centros y almacen correcto;Revisar que no cuente con MR12 o MR13;Validar no tenga bloqueo de credito;Si sigue el error contactar a la area de soporte","Consultor MM;Auditoria;Inventarios"
picking,picking-ajuste,"si el material no marca y ya fue entregado enviar a la mesa de servicio un ajuste a positivo antes validando en fisico si no cuenta con mas stock + lo que este ya confirmado de entregado","Auditoria;Inventarios"
picking,picking-paquetewc,"si el picking no sale desde la VA02 error de 1 piez deberas contabilizar a nivel posicion y seleccionar solo 1 pieza a la vez para poder contabilizar ya que es un paquete","Consultor MM;Inventarios"
